Study,Year,DOI_or_ID,Source_URL,Source_Access,Source_File,Inclusion_Tier,Reliability_Tier,Mn_wt,C_wt,Al_wt,Si_wt,Cu_wt,Ni_wt,Cr_wt,Mo_wt,Nb_wt,V_wt,T_anneal_C,Time_sec,RA_fraction,RA_pct,Measurement_Method,Data_Quality,Initial_Condition,Source_Ref,Extraction_Note,ML_Ready,Row_Key
hu_2016_mn_al_trip,2016.0,NEU_Natural_2016_37_2_179,https://xuebao.neu.edu.cn/natural/article/html/2016-2-179.htm,open_access_chinese_university,open_access_verified_additions.csv,core_exact,experimental_core_exact,6.4,0.18,2.8,0.48,0.0,0.0,0.0,,,,600.0,300.0,0.153,15.3,XRD,text_reported,hot-rolled Fe-0.2C-7Mn-3Al thermo-simulated intercritical anneal,Results section Figure 3 text,"Experimental composition C0.18 Si0.48 Mn6.4 Al2.8 V0.1; 10 C/s to IA temperature, held 5 min then air-cooled. Text reports 600C RA 15.3 percent.",True,hu_2016_mn_al_trip|6.4|0.18|2.8|0.48|600.0|300.0|0.153|xrd
hu_2016_mn_al_trip,2016.0,NEU_Natural_2016_37_2_179,https://xuebao.neu.edu.cn/natural/article/html/2016-2-179.htm,open_access_chinese_university,open_access_verified_additions.csv,core_exact,experimental_core_exact,6.4,0.18,2.8,0.48,0.0,0.0,0.0,,,,750.0,300.0,0.325,32.5,XRD,text_reported,hot-rolled Fe-0.2C-7Mn-3Al thermo-simulated intercritical anneal,Results section Figure 3 text,"Experimental composition C0.18 Si0.48 Mn6.4 Al2.8 V0.1; 10 C/s to IA temperature, held 5 min then air-cooled. Text reports 750C RA 32.5 percent.",True,hu_2016_mn_al_trip|6.4|0.18|2.8|0.48|750.0|300.0|0.325|xrd
li_2015_hot_rolled_trip_time,2015.0,NEU_Natural_2015_36_9_1256,https://xuebao.neu.edu.cn/natural/article/html/2015-9-1256.htm,open_access_chinese_university,open_access_verified_additions.csv,core_exact,experimental_core_exact,5.83,0.17,3.12,0.0,0.0,0.0,0.0,,,,650.0,600.0,0.503,50.3,XRD,text_reported,hot-rolled Fe-6Mn-3Al; 700C 1h water quench then 650C ART,Abstract and Results section Figure 5 text,Experimental composition C0.17 Mn5.83 Al3.12 Fe balance; 700C water quench then 650C for 10 min. Text reports RA 50.3 percent before tensile deformation.,True,li_2015_hot_rolled_trip_time|5.83|0.17|3.12|0.0|650.0|600.0|0.503|xrd
yin_2014_ufg_trip_temp,2014.0,10.13374/j.issn1001-053x.2014.03.005,https://cje.ustb.edu.cn/cn/article/pdf/preview/10.13374/j.issn1001-053x.2014.03.005.pdf,open_access_chinese_pdf,open_access_verified_additions.csv,core_exact,experimental_core_exact,6.72,0.08,0.0,0.15,0.0,0.0,0.0,,,,650.0,180.0,0.193,19.3,XRD,text_reported,cold-rolled Fe-C-Mn ultrafine-grained TRIP steel,PDF lines around Figure 8 text,Composition table: C0.080 Si0.15 Mn6.72 Nb0.034. Heat treatment 590-710C for 3 min. Text reports RA 19.3 percent at 650C for 3 min.,True,yin_2014_ufg_trip_temp|6.72|0.08|0.0|0.15|650.0|180.0|0.193|xrd
zhao_2018_reverse_phase,2018.0,10.3390/ma11091633,https://www.mdpi.com/1996-1944/11/9/1633,open_access_mdpi,open_access_verified_additions.csv,core_exact,experimental_core_exact,5.4,0.13,0.0,0.0,0.0,0.0,0.0,,,,625.0,1800.0,0.0509,5.09,XRD,text_reported,930C 20min quench then reverse-phase transformation anneal,Abstract and Results section,0.13C-5.4Mn cold-rolled steel; article reports RA 5.09 pct after 625C reverse-phase annealing for 30 min.,True,zhao_2018_reverse_phase|5.4|0.13|0.0|0.0|625.0|1800.0|0.0509|xrd
zhao_2018_reverse_phase,2018.0,10.3390/ma11091633,https://www.mdpi.com/1996-1944/11/9/1633,open_access_mdpi,open_access_verified_additions.csv,core_exact,experimental_core_exact,5.4,0.13,0.0,0.0,0.0,0.0,0.0,,,,675.0,1800.0,0.2234,22.34,XRD,text_reported,930C 20min quench then reverse-phase transformation anneal,Abstract and Results section,0.13C-5.4Mn cold-rolled steel; article reports RA peak 22.34 pct after 675C reverse-phase annealing for 30 min.,True,zhao_2018_reverse_phase|5.4|0.13|0.0|0.0|675.0|1800.0|0.2234|xrd
zhao_2018_reverse_phase,2018.0,10.3390/ma11091633,https://www.mdpi.com/1996-1944/11/9/1633,open_access_mdpi,open_access_verified_additions.csv,core_exact,experimental_core_exact,5.4,0.13,0.0,0.0,0.0,0.0,0.0,,,,700.0,1800.0,0.0932,9.32,XRD,text_reported,930C 20min quench then reverse-phase transformation anneal,Abstract and Results section,0.13C-5.4Mn cold-rolled steel; article reports RA 9.32 pct after 700C reverse-phase annealing for 30 min.,True,zhao_2018_reverse_phase|5.4|0.13|0.0|0.0|700.0|1800.0|0.0932|xrd
glover_phd_2020,2020.0,CSM_Glover_PhD_2020,https://wpfiles.mines.edu/wp-content/uploads/aspprc/ResearchMaterials/Theses/Glover%2C%20Alexandra%20%28PhD-2020%29.pdf,phd_thesis_pdf,thesis_pdf_mined_real_ra.csv,thesis_core_exact,experimental_core_exact,7.17,0.139,0.046,0.21,,0.026,0.083,0.018,0.01,0.004,700.0,30.0,0.396,39.6,XRD,table_pdf_mined,BA-AR plus secondary soaking DS,Table B.1,DS 700C 30s.,True,glover_phd_2020|7.17|0.139|0.046|0.21|700.0|30.0|0.396|xrd
glover_phd_2020,2020.0,CSM_Glover_PhD_2020,https://wpfiles.mines.edu/wp-content/uploads/aspprc/ResearchMaterials/Theses/Glover%2C%20Alexandra%20%28PhD-2020%29.pdf,phd_thesis_pdf,thesis_pdf_mined_real_ra.csv,thesis_core_exact,experimental_core_exact,7.17,0.139,0.046,0.21,,0.026,0.083,0.018,0.01,0.004,700.0,60.0,0.43,43.0,XRD,table_pdf_mined,BA-AR plus secondary soaking DS,Table B.1,DS 700C 60s.,True,glover_phd_2020|7.17|0.139|0.046|0.21|700.0|60.0|0.43|xrd
glover_phd_2020,2020.0,CSM_Glover_PhD_2020,https://wpfiles.mines.edu/wp-content/uploads/aspprc/ResearchMaterials/Theses/Glover%2C%20Alexandra%20%28PhD-2020%29.pdf,phd_thesis_pdf,thesis_pdf_mined_real_ra.csv,thesis_core_exact,experimental_core_exact,7.17,0.139,0.046,0.21,,0.026,0.083,0.018,0.01,0.004,700.0,120.0,0.424,42.4,XRD,table_pdf_mined,BA-AR plus secondary soaking DS,Table B.1,DS 700C 120s.,True,glover_phd_2020|7.17|0.139|0.046|0.21|700.0|120.0|0.424|xrd
glover_phd_2020,2020.0,CSM_Glover_PhD_2020,https://wpfiles.mines.edu/wp-content/uploads/aspprc/ResearchMaterials/Theses/Glover%2C%20Alexandra%20%28PhD-2020%29.pdf,phd_thesis_pdf,thesis_pdf_mined_real_ra.csv,thesis_core_exact,experimental_core_exact,7.17,0.139,0.046,0.21,,0.026,0.083,0.018,0.01,0.004,725.0,30.0,0.393,39.3,XRD,table_pdf_mined,BA-AR plus secondary soaking DS,Table B.1,DS 725C 30s.,True,glover_phd_2020|7.17|0.139|0.046|0.21|725.0|30.0|0.393|xrd
